"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10156.9974272503","10763.2420691691","11439.3818256401","11167.9091753262","11117.4094922775","11267.502858973","11345.9625571473","11879.2058212968","12166.0080472179","12719.2028016398","13215.2544914898","13638.5455130225","14301.0583908816","14890.1877849063","14391.2179351823",
"Belarus","BLR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8890.66779541131","8779.67176874816","7919.73132891545","7301.39346090765","6431.06783760601","5784.37459870173","5976.37486101654","6669.26150626059","7263.06671356768","7554.66375254398","8024.44355951762","8448.81068670507","8934.15732542529","9660.63409911862","10833.7803957227","11918.9675240443","13178.5219702766","14309.9799341238","15821.2994080794","15783.8221555126","16988.4414509721","17850.0160248818","18144.9439497459","18075.6522526866","18461.982245495","17482.7013980392","17003.7708345099","17584.766223036","18186.9606010657","18697.0916301005","18259.8129119462",
"Belize","BLZ","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4743.73880599841","5186.03511245328","5673.91929677793","5904.43415963519","5722.48867844698","5653.41455079433","5530.15608293368","5560.40982558101","5485.39579865099","5709.71628716411","6172.07627724191","6175.4204750601","6314.8763194895","6622.61040259586","6631.32579163245","6639.21553036563","6783.17728800459","6482.86445635807","6581.73160825713","6801.7780972574","6626.20864585471","6807.61442019081","6727.46233476047","6678.12770055316","6747.27274187295","6961.24059031823","6766.38570227622","6709.03456049825","6609.41804251772","6694.22269114183","5582.16295650479",
"Bermuda","BMU","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85191.6561620299","","","",
"Bolivia","BOL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4352.02130045765","4514.77491379498","4546.2990269054","4640.75794940657","4782.39157088568","4901.61556990066","5023.76306124228","5183.91165802226","5367.56099252557","5262.26532466288","5275.4629938305","5267.65067783931","5296.84767953676","5275.97529690371","5355.22527745362","5518.22702403733","5702.74996366864","5847.29112572173","6132.91728722289","6198.64266363787","6292.09008561126","6535.78932427427","6608.28706718031","6937.03804344045","7313.41507266812","7718.19400349099","8056.4430837317","8174.49297693522","8443.88386695281","8544.29410120052","",
"Brazil","BRA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10254.1731425187","10261.3021084935","10074.3890097266","10315.7537158866","10544.9431510464","11087.7557571084","11019.8519425721","11160.7654084175","10889.9195258594","10697.7711060495","11279.4136563286","11240.2356325586","11415.260809217","11423.9105615845","11962.883591765","12212.196955764","12605.8182084923","13284.6324760677","13778.0654227244","13653.3570095012","14414.1277637703","14925.8893980892","15088.3859643394","15584.1194179926","15454.7698554976","14780.0575591563","14143.5829700876","14253.0750185968","14258.4842074561","14367.2392420193","13790.7114327744",
"Barbados","BRB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15079.3691181985","","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71470.7035118992","71643.8686367155","72948.5616646928","71145.6401938218","71414.0674842072","72688.8707867886","72937.9504165786","70173.5733278072","68213.2087762067","68769.7439669126","69253.4132470813","69715.9777528573","71007.9725471594","71721.9312727584","70852.4761419067","70020.9101654287","72083.4772603163","71648.0012251215","69405.8147557232","67384.0493041942","67481.4326079563","67386.706198354","67317.7876854412","66079.8050816266","64338.1260135239","66409.2108992292","65044.6337019944","64617.6381245087","60975.6790713524","63963.4753358571","",
"Bhutan","BTN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2698.71840497993","2599.48388011654","2642.12918845763","2750.87973167927","2971.47321868143","2998.5709853262","3170.2619778284","3366.83067206707","3245.93275129948","3323.7867105591","4053.15772727493","4302.48361597552","4608.96863671742","4838.87580662956","5038.6400021018","5371.75622173053","5733.8289551366","6647.08176480344","6796.00269996731","7084.94031461203","7717.7392087788","8178.56793595633","8355.0796798245","8517.61617675561","8895.81964179058","9371.44868160277","9850.66936428339","10174.7096059929","10330.221363302","10760.6883799396","",
"Botswana","BWA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868.63553329488","9639.70031361194","9739.90032497847","10049.9814065001","9110.42225478046","9918.76455445351","9792.2190421649","10613.4812641772","10962.9513785662","10965.3187192961","10784.0997687433","11027.2581696279","10362.4327014849","11066.7331521124","10998.445682578","11517.1991314704","12298.1250582337","13173.8584797598","13778.1275674957","12998.4982901276","13505.8584637248","14495.768161151","15084.8388326154","16124.8236332404","16822.8149062544","16241.8195706243","15602.7940455649","15899.0379534142","16151.3302980274","16449.0978024088","14745.2001133229",
